station,missing_date
San Diego,2019-01-01
San Diego,2019-01-02
San Diego,2019-01-03
San Diego,2019-01-04
San Diego,2019-01-05
San Diego,2019-01-06
San Diego,2019-01-07
San Diego,2019-01-08
San Diego,2019-01-09
San Diego,2019-01-10
San Diego,2019-01-11
San Diego,2019-01-12
San Diego,2019-01-13
San Diego,2019-01-14
San Diego,2019-01-15
San Diego,2019-01-16
San Diego,2019-01-17
San Diego,2019-01-18
San Diego,2019-01-19
San Diego,2019-01-20
San Diego,2019-01-21
San Diego,2019-01-22
San Diego,2019-01-23
San Diego,2019-01-24
San Diego,2019-01-25
San Diego,2019-01-26
San Diego,2019-01-27
San Diego,2019-01-28
San Diego,2019-01-29
San Diego,2019-01-30
San Diego,2019-01-31
San Diego,2019-02-01
San Diego,2019-02-02
San Diego,2019-02-03
San Diego,2019-02-04
San Diego,2019-02-05
San Diego,2019-02-06
San Diego,2019-02-07
San Diego,2019-02-08
San Diego,2019-02-09
San Diego,2019-02-10
San Diego,2019-02-11
San Diego,2019-02-12
San Diego,2019-02-13
San Diego,2019-02-14
San Diego,2019-02-15
San Diego,2019-02-16
San Diego,2019-02-17
San Diego,2019-02-18
San Diego,2019-02-19
San Diego,2019-02-20
San Diego,2019-02-21
San Diego,2019-02-22
San Diego,2019-02-23
San Diego,2019-02-24
San Diego,2019-02-25
San Diego,2019-02-26
San Diego,2019-02-27
San Diego,2019-02-28
San Diego,2019-03-01
San Diego,2019-03-02
San Diego,2019-03-03
San Diego,2019-03-04
San Diego,2019-03-05
San Diego,2019-03-06
San Diego,2019-03-07
San Diego,2019-03-08
San Diego,2019-03-09
San Diego,2019-03-10
San Diego,2019-03-11
San Diego,2019-03-12
San Diego,2019-03-13
San Diego,2019-03-14
San Diego,2019-03-15
San Diego,2019-03-16
San Diego,2019-03-17
San Diego,2019-03-18
San Diego,2019-03-19
San Diego,2019-03-20
San Diego,2019-03-21
San Diego,2019-03-22
San Diego,2019-03-23
San Diego,2019-03-24
San Diego,2019-03-25
San Diego,2019-03-26
San Diego,2019-03-27
San Diego,2019-03-28
San Diego,2019-03-29
San Diego,2019-03-30
San Diego,2019-03-31
San Diego,2019-04-01
San Diego,2019-04-02
San Diego,2019-04-03
San Diego,2019-04-04
San Diego,2019-04-05
San Diego,2019-04-06
San Diego,2019-04-07
San Diego,2019-04-08
San Diego,2019-04-09
San Diego,2019-04-10
San Diego,2019-04-11
San Diego,2019-04-12
San Diego,2019-04-13
San Diego,2019-04-14
San Diego,2019-04-15
San Diego,2019-04-16
San Diego,2019-04-17
San Diego,2019-04-18
San Diego,2019-04-19
San Diego,2019-04-20
San Diego,2019-04-21
San Diego,2019-04-22
San Diego,2019-04-23
San Diego,2019-04-24
San Diego,2019-04-25
San Diego,2019-04-26
San Diego,2019-04-27
San Diego,2019-04-28
San Diego,2019-04-29
San Diego,2019-04-30
San Diego,2019-05-01
San Diego,2019-05-02
San Diego,2019-05-03
San Diego,2019-05-04
San Diego,2019-05-05
San Diego,2019-05-06
San Diego,2019-05-07
San Diego,2019-05-08
San Diego,2019-05-09
San Diego,2019-05-10
San Diego,2019-05-11
San Diego,2019-05-12
San Diego,2019-05-13
San Diego,2019-05-14
San Diego,2019-05-15
San Diego,2019-05-16
San Diego,2019-05-17
San Diego,2019-05-18
San Diego,2019-05-19
San Diego,2019-05-20
San Diego,2019-05-21
San Diego,2019-05-22
San Diego,2019-05-23
San Diego,2019-05-24
San Diego,2019-05-25
San Diego,2019-05-26
San Diego,2019-05-27
San Diego,2019-05-28
San Diego,2019-05-29
San Diego,2019-05-30
San Diego,2019-05-31
San Diego,2019-06-01
San Diego,2019-06-02
San Diego,2019-06-03
San Diego,2019-06-04
San Diego,2019-06-05
San Diego,2019-06-06
San Diego,2019-06-07
San Diego,2019-06-08
San Diego,2019-06-09
San Diego,2019-06-10
San Diego,2019-06-11
San Diego,2019-06-12
San Diego,2019-06-13
San Diego,2019-06-14
San Diego,2019-06-15
San Diego,2019-06-16
San Diego,2019-06-17
San Diego,2019-06-18
San Diego,2019-06-19
San Diego,2019-06-20
San Diego,2019-06-21
San Diego,2019-06-22
San Diego,2019-06-23
San Diego,2019-06-24
San Diego,2019-06-25
San Diego,2019-06-26
San Diego,2019-06-27
San Diego,2019-06-28
San Diego,2019-06-29
San Diego,2019-06-30
